,Living Environment Score,Crime Score,Health Deprivation and Disability Score,Barriers to Housing and Services Score,"Education, Skills and Training Score",Employment Score (rate),Income Score (rate),Index of Multiple Deprivation (IMD) Score,Outdoors Sub-domain Score,safety,wealth,boring,depressing,lively,walk,beauty,lsoa
50,31.481,0.514,0.198,42.507,26.697,0.096,0.18,29.788,0.899,5.8094262221387325,5.324180377348688,5.470981787179262,5.286614910336851,5.376602684268515,5.114818459248725,5.035381596507007,E01000054
51,29.369,0.047,0.126,43.185,27.143,0.114,0.211,30.898,1.069,5.8654105494720765,5.433795906076528,5.462246837037982,5.166632704060487,5.389446053842102,5.200314938419997,5.206796319797785,E01000055
52,23.506,0.485,0.455,51.736,25.304,0.144,0.197,35.903,0.912,5.8135102083606105,5.266299087193705,5.503730320161389,5.258772336667584,5.365452310731334,5.160040686207433,5.147660297732199,E01000056
53,30.046,0.644,0.097,43.725,31.462,0.118,0.196,32.887,1.281,5.865689383362824,5.384208530749914,5.337719834075783,5.125207109271355,5.4345004401117,5.198855653124036,5.1898762572486445,E01000057
54,27.809,0.358,0.147,46.251,25.845,0.117,0.199,31.763,0.919,5.866995203728769,5.3751667083478445,5.336466393050025,5.126645574382708,5.470792309910643,5.309456117012921,5.251907530952902,E01000058
55,32.699,0.414,0.136,45.241,28.14,0.129,0.176,32.331,0.741,5.9064407528571365,5.244801002853322,5.398395725016324,5.133548202379695,5.548176817174228,5.319683746346888,5.232894768130104,E01000059
56,24.729,1.109,0.282,48.53,25.54,0.129,0.202,36.154,1.316,5.853626722122129,5.264169693982453,5.483513988894546,5.143004193840185,5.35622620632045,5.25460004509732,5.245495043354905,E01000060
57,15.967,0.145,1.013,49.627,39.776,0.186,0.303,46.283,0.651,5.7638863398705,5.212500859189917,5.530594278264929,5.2248300961506216,5.261617062268434,5.171840307889162,5.221247003402239,E01000061
58,20.153,0.558,-0.143,45.088,30.73,0.088,0.143,26.669,0.776,5.950095400356111,5.32488963717506,5.3665361705280485,5.142869904495421,5.471498324189867,5.359752529008048,5.281664448125022,E01000062
59,35.452,0.342,0.286,41.886,37.624,0.124,0.181,33.371,1.056,5.864497882127762,5.3317936559518175,5.402268586556117,5.188605546951294,5.514190763235092,5.197610612710317,5.247411770621936,E01000063
60,34.175,0.212,0.39,50.054,24.438,0.13,0.208,35.283,0.845,5.838329613926899,5.29756037442081,5.351061291005238,5.11641009098076,5.445370220994374,5.227401576128351,5.1845242847879245,E01000064
61,29.31,0.324,0.817,47.453,26.185,0.173,0.228,39.89,1.061,5.873361873363263,5.399329006342598,5.314822154809098,5.088738992069308,5.477476498698661,5.280825431834268,5.316219875167088,E01000065
62,17.916,-0.273,0.054,50.656,18.294,0.097,0.147,25.763,0.682,6.04963276952,5.556131500813921,5.234584801277872,5.049839441554021,5.439301229634528,5.34761297904839,5.434336410740674,E01000066
63,21.711,0.381,-0.388,42.456,15.99,0.066,0.132,20.973,1.136,6.107527312168405,5.5780858225073695,5.190198022471972,5.010147808997099,5.600094870102307,5.333161700363002,5.502186077685396,E01000067
64,31.382,0.946,0.167,41.502,16.187,0.075,0.123,25.603,1.248,6.220241789965286,5.7481624416469295,5.072758941306281,4.963614009090306,5.7335316569534776,5.384835854019086,5.627449357632509,E01000068
65,28.36,0.032,-0.626,31.781,16.481,0.07,0.087,16.375,0.974,6.108614937076724,5.715697800240865,5.051195394702074,5.100568213113925,5.611094831451168,5.439234668646401,5.496583109948693,E01000069
66,27.639,0.84,-0.442,35.596,14.434,0.077,0.11,21.038,1.271,6.134715699134989,5.606265777603109,5.140644975165103,5.047868739417258,5.674497139580707,5.3310231813725,5.531194820048961,E01000070
67,22.064,-0.155,-0.261,40.981,14.114,0.058,0.13,18.848,0.886,6.06926700592041,5.579544503348214,5.198129743848528,5.024338095528739,5.527777079854693,5.342069673538208,5.409415301595415,E01000071
68,30.082,1.197,0.478,46.957,34.242,0.138,0.241,41.016,1.235,5.773524634978351,5.397056285851921,5.465619005408942,5.2464079716626335,5.298608163602991,5.043400657722374,5.067586563771068,E01000072
69,23.636,1.346,0.57,43.442,35.14,0.135,0.209,38.757,0.71,5.9536994109388255,5.361784943791687,5.441161162540561,5.207358139460204,5.442454712312729,5.118412688130238,5.163128800079471,E01000073
70,22.806,0.005,0.461,47.408,32.398,0.128,0.234,35.044,0.837,5.844995402056595,5.250441851287053,5.467731398755107,5.3352228803881285,5.306242116566362,5.060022476418265,5.0400742867897295,E01000074
71,39.815,1.057,0.136,44.869,36.347,0.118,0.196,36.999,1.375,6.01774173106962,5.503321946245952,5.366178995775945,5.059715120537767,5.382667792653574,5.307940997545002,5.478948218729889,E01000075
72,27.02,0.287,0.097,49.87,36.193,0.148,0.208,36.246,0.892,5.824017997515404,5.303540969299058,5.499461470013958,5.253321795140282,5.432113710096327,5.117766151993962,5.046856937772136,E01000076
73,35.02,0.487,0.725,44.143,33.494,0.159,0.251,41.032,1.091,5.774428241621188,5.256765477056426,5.465972339234701,5.209317685142765,5.37213354769761,5.124311255245674,5.031159887468911,E01000077
74,33.091,0.467,0.035,44.311,33.668,0.128,0.228,35.033,1.073,5.846796939070796,5.251173759010476,5.378516658930711,5.165686232942931,5.490755777123948,5.283668842114193,5.303703795016651,E01000078
75,29.325,0.253,0.045,48.007,24.526,0.141,0.227,34.522,0.94,5.862950400872664,5.279114047686259,5.335014945629871,5.103866129210501,5.368008058179509,5.35617730292407,5.325636382355834,E01000079
76,24.492,0.145,0.445,45.385,26.379,0.146,0.19,33.185,0.984,5.765688193308843,5.2296088670755365,5.395566263756194,5.2972307127791565,5.393001971306739,5.253926899526026,5.149759885552641,E01000080
77,32.758,0.192,0.225,43.718,30.952,0.116,0.162,30.608,1.009,5.74638746712954,5.111195495110432,5.475014447255899,5.341115400081373,5.446910170198397,5.146076177822724,5.100851524877184,E01000081
78,30.006,-0.221,-0.111,43.176,31.053,0.113,0.158,27.895,1.037,5.926254599744623,5.311076192422346,5.402096936919472,5.071237702803178,5.619410328431563,5.232638120651245,5.346503631635145,E01000082
79,35.395,0.434,0.361,44.245,27.072,0.134,0.196,34.377,1.118,5.88560964768393,5.381620439521053,5.4046616146439,5.177823229839928,5.634607980125828,5.216823498408,5.28960165747425,E01000083
80,28.534,1.309,0.338,43.432,36.839,0.141,0.229,39.815,1.086,5.925477835984356,5.293497780782986,5.236356493646064,5.062192020163072,5.547476127084377,5.252022565993587,5.354071621346263,E01000084
81,32.465,1.036,-0.227,46.139,36.259,0.124,0.189,35.154,1.156,5.886206032679631,5.373990021302149,5.359481561183929,5.061360013484955,5.450008208935078,5.256830165936397,5.223007829372699,E01000085
82,26.281,0.868,0.89,42.757,28.503,0.142,0.218,38.156,0.78,5.920133400846411,5.222256509242235,5.380637806874734,5.112846786225283,5.514061190463878,5.289698009137754,5.197470579986219,E01000086
83,31.357,0.135,0.046,48.565,27.171,0.131,0.226,34.357,0.968,5.626445405669027,5.2567470499447415,5.591539799392997,5.327381524946783,5.11942727302576,4.89800207258819,5.081474541069626,E01000087
84,34.525,0.552,0.264,44.005,20.313,0.1,0.147,28.849,1.268,5.820149443149567,5.296775125265121,5.349505051374435,5.274262154102326,5.384409155845642,5.134006105661392,5.117734960317612,E01000088
85,40.955,0.189,-0.154,47.254,25.246,0.092,0.156,28.968,1.104,5.8776480280436,5.416262573920763,5.20581119450239,5.318166487492048,5.431958806056243,5.037380975026351,5.080513458985549,E01000089
86,29.464,0.7,-0.187,45.475,22.024,0.091,0.169,28.317,1.071,5.462939695141019,5.214059958091149,5.679800267050252,5.40732419032317,4.893236371892444,4.759618955603718,4.877117367891165,E01000090
87,23.563,0.994,0.324,48.266,32.562,0.175,0.256,42.183,1.17,5.911518436211806,5.267523472959345,5.494455146622824,5.120867946764806,5.44943020727251,5.271754512420068,5.215388816553396,E01000091
88,29.993,0.657,-0.008,61.059,18.788,0.106,0.215,33.768,0.862,5.545400220917185,5.101109582159488,5.588628537197995,5.357210838584648,5.057415620083326,5.021383792555805,5.00652183008089,E01000092
89,43.57,1.073,0.842,49.657,27.955,0.169,0.26,46.922,1.582,5.8218229241166375,5.2204408828466216,5.483590531934259,5.141007617207393,5.328494613155997,5.292863545242263,5.194924499359599,E01000093
90,20.692,0.524,-0.036,64.961,10.866,0.094,0.167,28.182,0.648,5.64344780187349,5.223145670181996,5.520132399357117,5.267450455609743,5.0888627370198565,5.160233460568093,5.2275157656755535,E01000094
91,18.657,0.944,-0.111,63.151,22.314,0.095,0.196,32.254,0.888,5.414667860419566,4.98193806482426,5.844840230090047,5.485918719165219,4.830643922776105,4.818473166477374,4.973068282794565,E01000095
92,29.982,1.284,0.008,48.317,34.307,0.135,0.259,40.926,1.553,5.519120104200258,5.018378529492326,5.670419241969041,5.371720413523396,5.045095376142367,4.996208873320752,4.937209721155993,E01000096
93,28.566,0.468,0.808,47.096,32.926,0.131,0.223,38.009,1.08,5.863783077282064,5.295255231506684,5.465099754578927,5.270796535646214,5.43521756372031,5.225739088128595,5.1371475177652695,E01000097
94,28.673,0.911,0.443,43.482,31.389,0.159,0.239,39.405,1.104,5.859651858374576,5.337304828150961,5.416434032004951,5.187458191141986,5.4249695211448925,5.206549624468656,5.1336656048793925,E01000098
95,26.795,0.008,0.214,47.111,25.037,0.105,0.174,29.266,0.705,5.843894264485576,5.242451851320739,5.504030399983472,5.2260474958042105,5.458003786530825,5.237614085178564,5.154373134126757,E01000099
96,38.207,0.634,0.106,42.938,29.622,0.117,0.16,31.83,1.09,5.952902607379421,5.497888223778817,5.406186904638044,5.128921918330654,5.557436039370876,5.322350589498397,5.305146572089964,E01000100
97,37.223,0.832,0.464,43.29,28.988,0.154,0.254,40.463,1.53,5.83634913326206,5.378102735469216,5.475851051789477,5.2167176259191415,5.404455606202434,5.175985498535902,5.157882407195586,E01000101
98,33.8,0.762,0.684,44.376,23.976,0.175,0.275,42.631,1.105,5.861720721453231,5.332046028794042,5.361572370623911,5.184715947568022,5.465606766820743,5.232083904822141,5.277938043834358,E01000102
99,20.068,0.58,0.427,50.872,26.208,0.113,0.18,32.894,0.622,5.710728249698877,5.095151157677174,5.515636251866818,5.244016701728105,5.251500684022903,5.235910779237747,5.19944121837616,E01000103
100,18.066,0.131,0.276,50.107,31.664,0.134,0.222,34.672,0.646,5.852193726433648,5.321123094028897,5.379142485724556,5.214487355726736,5.32264751151756,5.285018361056292,5.255985811904624,E01000104
101,25.589,1.039,0.932,47.24,36.132,0.165,0.246,44.149,1.071,5.809800770375635,5.273257072095747,5.383970010590244,5.144458122841724,5.440701749417689,5.241924014958468,5.24230687881445,E01000105
102,26.265,0.786,0.636,51.428,27.219,0.167,0.275,43.523,0.688,5.783066832678658,5.19464402948107,5.429355637005397,5.129895609446934,5.361439403806414,5.213173920767648,5.24384490285601,E01000106
103,22.813,-0.027,0.579,44.429,29.324,0.095,0.151,28.332,0.673,5.952420244280924,5.30270570396577,5.322509359193329,5.144725045901817,5.476845760473469,5.399651775424112,5.283754607975083,E01000107
104,35.136,0.183,0.158,41.045,20.596,0.104,0.171,28.166,0.723,5.866525688171387,5.339974472999573,5.267427910804749,5.131453870773315,5.462126762390136,5.233997436523437,5.218342999458313,E01000108
105,34.149,0.891,-0.199,39.755,22.485,0.084,0.12,25.691,1.049,5.721630224262375,5.179617129176496,5.38114745214761,5.410538490996303,5.315134620092001,5.126696537776166,4.9328023532787,E01000109
106,20.544,-0.312,-0.002,32.872,12.848,0.078,0.112,17.741,0.689,5.961759086546859,5.462304680328059,5.361233714150219,5.066718078241116,5.522958509321136,5.106126180509242,5.295161829731328,E01000110
107,26.789,0.313,0.187,44.339,20.878,0.111,0.174,28.903,0.807,5.736742771960594,5.175018051723102,5.442321502947593,5.26059411989676,5.299188258948627,5.054797547357577,5.126897214232264,E01000111
108,40.766,0.602,-0.324,43.159,18.969,0.065,0.129,24.743,0.93,5.767379804227337,5.233287737054645,5.318079336634222,5.203787145374706,5.403502031692169,5.095665376141386,5.107685652918786,E01000112
109,26.945,0.708,-0.122,42.208,16.983,0.081,0.152,25.268,1.001,5.725910397463067,5.23598801881768,5.3523056708103,5.238037968097731,5.3821890790795175,5.144321985716044,5.129048943519592,E01000113
110,34.274,0.423,-0.117,40.755,19.124,0.074,0.119,23.288,0.941,5.745504099855978,5.301931853016848,5.435225567489705,5.352528498286293,5.335021413823284,5.100529963377292,4.98985256404473,E01000114
111,18.838,-0.545,-1.526,17.004,3.734,0.046,0.055,6.227,0.849,6.274722427436986,5.889082974379825,5.248067502508459,4.7559924574242425,5.767792623067639,5.625922222727353,5.908101503382024,E01000115
112,18.248,-0.43,-1.412,19.173,3.87,0.049,0.074,7.79,0.403,6.305150399828171,5.801051622014409,5.08561392642992,4.713225544300849,5.768368778741948,5.655559349487715,5.930659229979922,E01000116
113,17.66,-0.168,-1.141,21.506,6.077,0.062,0.071,9.642,0.417,5.941900429865306,5.487986127701763,5.396026281133357,4.932478010903841,5.489736146009118,5.354379375609394,5.428534523712541,E01000117
114,16.261,-0.206,-1.679,22.339,8.59,0.059,0.077,9.812,0.443,6.164255143363695,5.74811713764633,5.241656056348829,4.896390135161543,5.6709617278426165,5.4928354186136366,5.632827643611005,E01000118
115,21.949,0.627,-1.884,23.519,3.312,0.054,0.078,11.589,0.86,6.066599614692457,5.666771294131424,5.293793110413985,5.037623210386797,5.704934716947151,5.433587522217722,5.481877953355963,E01000119
116,14.872,-0.568,-1.58,18.977,4.436,0.036,0.061,5.902,0.561,6.047538803418477,5.767871731122335,5.168683299223582,5.0151836546262105,5.732053405443828,5.333005052407582,5.395612761179606,E01000120
117,13.339,0.336,0.261,37.522,22.583,0.194,0.262,36.203,0.571,5.911839280809675,5.487022565719776,5.4758963109855365,5.044873287803249,5.35974044907362,5.28035773280868,5.523203002779107,E01000121
118,21.817,-0.622,-1.246,30.659,2.257,0.055,0.071,10.152,0.543,6.076037252412259,5.640516916525017,5.318947648539127,5.077723698708618,5.643642506553132,5.43164849975734,5.577995969832522,E01000122
119,15.659,-0.684,-1.062,34.632,8.519,0.049,0.075,11.048,0.372,5.977901111569321,5.473772577026434,5.420198902749179,4.90126157225224,5.389720455073474,5.447214089464723,5.705787759601024,E01000123
120,20.768,0.491,-0.593,30.587,14.674,0.128,0.166,23.589,0.96,5.732230159971449,5.274476431770089,5.436237214524069,5.177629737206448,5.279709203007781,5.219564096427258,5.254464529178761,E01000124
121,20.582,0.586,-0.615,45.911,23.785,0.088,0.179,26.704,1.071,5.720837571223577,5.191618240541882,5.390464827749464,5.151519774066077,5.38083568877644,5.247253397438262,5.236145136091444,E01000125
122,24.433,-0.164,-0.077,51.181,13.21,0.152,0.243,33.625,0.672,5.800171410165182,5.207249858515049,5.453477073491104,5.143105604784275,5.427146209933894,5.356537832477229,5.378996539891251,E01000126
123,22.92,0.424,-0.495,37.588,21.348,0.129,0.193,27.543,0.862,6.041064031831511,5.53193569445348,5.368002697661683,4.890195921227172,5.468106610434396,5.496475365135696,5.756136349269322,E01000127
124,27.146,0.957,-0.346,34.708,22.529,0.103,0.171,27.055,1.087,5.888777806570656,5.413397373337495,5.429873893135472,5.055764911990416,5.42306056383409,5.322319782878223,5.460566661075542,E01000128
125,25.543,1.004,-0.148,38.657,23.973,0.11,0.214,31.0,1.277,5.7389024022203055,5.215687414133771,5.21864546529995,5.037231708905711,5.553679100474956,5.168353772311477,5.349687655519995,E01000129
126,35.288,0.839,-0.331,43.475,19.118,0.118,0.185,30.863,0.757,6.0620888424854655,5.623896192101872,5.454579187374489,4.900569995244344,5.553497153169968,5.401961861872206,5.560472980433819,E01000130
127,20.979,1.133,-0.802,39.033,10.9,0.067,0.116,20.904,1.139,6.0253282635300245,5.609744420758,5.192040456665887,5.008479113048978,5.586079791740135,5.400329392927664,5.566040911497893,E01000131
128,25.837,0.309,-0.464,35.397,22.698,0.106,0.187,25.53,1.039,5.955177166751612,5.42239629108215,5.363366934740655,5.05062608295512,5.448154866138351,5.401712448797493,5.397343174319401,E01000132
129,26.72,0.065,-0.059,40.079,24.516,0.159,0.188,30.774,1.101,6.001288998694647,5.411515643672337,5.477071400672671,4.971286731106894,5.52460727805183,5.51794771921067,5.552492811566308,E01000133
130,27.225,-0.195,-0.579,42.152,20.26,0.093,0.184,24.669,0.71,5.941856647605326,5.437006370345158,5.33889094395424,4.954321346176204,5.481720981313221,5.392049696018447,5.548275265231061,E01000134
131,33.536,0.385,-1.087,25.516,4.357,0.048,0.076,12.523,1.363,6.219591658099804,5.855145298577602,5.172074773732354,4.819930924309625,5.679514735352759,5.472274741316153,5.776064219817616,E01000135
132,36.198,0.188,-1.93,27.615,0.946,0.02,0.037,8.96,1.033,6.125337891048855,5.84006975279914,5.148034974733989,4.727285321553548,5.648131459024217,5.566292212274339,6.097286488215128,E01000136
133,22.835,0.348,0.077,33.329,8.14,0.145,0.235,28.786,1.096,5.986389154611632,5.507486749527066,5.29956793092018,5.03421937171803,5.537005084891652,5.320493329403012,5.455222968445268,E01000137
134,31.895,1.066,-0.547,35.73,8.449,0.127,0.178,27.86,1.157,6.004264145032734,5.722937726805396,5.237906587039325,5.050611400435157,5.644145664593852,5.248776889861898,5.437957638544394,E01000138
135,29.28,0.61,-1.326,25.608,4.481,0.041,0.082,12.388,1.181,6.034962356760261,5.734519158186537,5.242676326398099,4.920852934376577,5.598501035336698,5.376947053362814,5.618901441606243,E01000139
136,30.341,-0.026,-0.914,30.188,9.457,0.078,0.118,16.817,0.865,5.86273693653845,5.592627539750068,5.015399269519314,4.978019088506699,5.672917990915237,5.451765098879414,5.529167121456515,E01000140
